# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
UV Island Select;UV 孤岛选择
Mesh Select;网格选择
Color Sampler;颜色样本
Light Controller;灯光控制器
Focus;焦点
Decal;贴花
Select and Edit Shapes;选择和编辑形状
Select and Edit Points;选择和编辑点
Pen;笔
Curve;曲线
Rectangle;矩形
Ellipse;椭圆
Polygon;多边形
Sketch;草图
Tile Strip;平铺条带
Enable vector point snapping;启用矢量点捕捉
Snap points to the grid (decal mode only);将点吸附到网格（仅限贴花模式）
Snap points to other vector shape points;将点吸附到其他矢量形状的点
Snap to vector shape borders between points;将点吸附到两点之间的矢量形状边界
Snap points to the plane or axis of symmetry;将点吸附到对称平面或对称轴
Import Model;导入模型
New Light;新建灯光
New Camera;新建摄像机
New Fog;新建雾
New Backdrop;新建背景
New Shadow Catcher;新建阴影捕捉器
New Bake Project;新建烘焙项目
New Turntable;新建转盘
Presentation;演示
Delete Selection;删除选择
Filter Scene Objects;过滤场景对象
This interface is disabled because the selected object is locked.;此接口因选定对象被锁定而禁用 。
Anti-aliasing provides a reduction of undersampling artifacts such as jagged edges, at a modest performance cost.;抗锯齿可减少欠采样伪影（如锯齿边缘），代价是适度的性能开销。
Sets the method by which images are rendered for each eye. Some modes may require special hardware.;设置每只眼睛的渲染方式。某些模式可能需要特殊硬件。
Swaps the left and right eye images.;交换左右眼图像。
Specifies the separation between the eyes of the viewer, in scene units. Greater values will make the scene appear "smaller".;指定观察者两眼之间的距离（以场景单位计）。值越大，场景看起来越“小”。
Enables polygon edge display.;启用多边形边缘显示 。
Controls the intensity of the wireframe effect.;控制线框效应的强度。
Sets the color of the wireframe effect.;设置线框效果的颜色。
Displays the tile name in the canvas.;在画布中显示图块名称。
Displays the tile border in the canvas.;在画布中显示图块边框。
Sets a divisor for the speed of light in the atmosphere. This setting only applies to materials which use the refractive index reflectivity model.;设置大气中光速的除数。此设置仅适用于使用折射率反射模型的材质。
Enables refractions inside of objects.;启用对象内部的折射。
Enables an approximation of inter-object reflections, which can improve the quality of reflective surfaces. This effect only applies to raster renders.;启用对象间反射的近似计算，可提高反射表面的质量。此效果仅适用于光栅渲染。
Adjusts the brightness of local reflections.;调整本地反射的亮度。
Enables an approximation of diffuse light scattering between objects. This effect only applies to raster renders.;启用对象间漫反射光散射的近似计算。此效果仅适用于光栅渲染。
Adjusts the brightness of local diffuse light.;调整局部漫反射光的亮度。
Adjusts the falloff length of local diffuse light. This value is not in scene units but rather a ratio with camera distance.;调整局部漫反射光的衰减长度。该值不是场景单位，而是与相机距离的比例。
Controls the resolution of all shadow maps, for improved detail and precision. Higher settings have an adverse effect on performance.;控制所有阴影贴图的分辨率，以提高细节和精度。较高的设置会对性能产生不利影响。
Adds a small spatial offset between shadows and shadow casters. This can be useful for tweaking shadow artifacts in difficult cases.;在阴影与阴影投射物之间添加一个小的空间偏移。这在棘手情况下微调阴影伪影时很有用。
Enables cascading shadows for higher quality directional lights in large scenes.;启用级联阴影，为大场景中的定向光提供更高质量。
Enables an inter-object light occlusion approximation. This effect only applies to raster renders.;启用对象间光照遮蔽近似计算。此效果仅适用于光栅渲染。
The occlusion effect darkens diffuse light from the sky background.;遮蔽效果会使来自天空背景的漫反射光变暗。
The occlusion effect darkens diffuse light from all sources. This setting overrides the "Ambient" option.;遮蔽效果会使来自所有光源的漫反射光变暗。此设置会覆盖“环境”选项。
The occlusion effect darkens specular light. The occlusion color hue is not used for specular occlusion.;遮蔽效果会使高光变暗。遮蔽色相不用于高光遮蔽。
Sets the color of the ambient occlusion effect.;设置环境光遮蔽效果的颜色。
Sets the intensity of the ambient occlusion effect.;设置环境光遮蔽效果的强度。
Sets the spread of the ambient occlusion effect.;设置环境光遮蔽效果的扩散范围。
Controls the ambient occlusion ray length.;控制环境光遮蔽光线的长度。
Controls the ambient occlusion ray offset from surface.;控制环境光遮蔽光线相对于表面的偏移。
Enables ambient occlusion in viewport.;在视口中启用环境光遮蔽。
Controls the number of ambient occlusion rays used in sampling.;控制采样中使用的环境光遮蔽光线数量。
Mixes between a volumetric medium that is lit by the sky background, and a simple ambient color.;在由天空背景照亮的体积介质与简单的环境色之间混合。
Controls the brightness of omni, spot, and directional light sources in the medium.;控制介质中点光源、聚光灯和定向光的亮度。
Enables path traced global illumination, which simulates bounces of light between objects in a scene.;启用路径追踪全局光照，模拟场景中物体之间的光线反弹。
Progressively improves viewport preview quality by accumulating frames over time.;随着时间的推移,通过累积帧逐渐提高视图预览质量.
Applies noise reduction in the viewport preview, once several frames have accumulated.;在累积数帧后，对视口预览应用降噪。
Noise reduction mode in the viewport preview. GPU mode requires a supported NVIDIA graphics adapter.;视图预览中的降噪模式. GPU模式需要支持的NVIDIA图形适配器.
Noise reduction quality level in the viewport preview.;视图预览中降噪质量级别.
Automatically adjusts number of accumulated samples per frame while trying to maintain target frame rate. When disabled only 1 sample is accumulated per frame.;在维持目标帧率的同时，自动调整每帧累积的采样数。禁用时，每帧只累积 1 个采样。
Number of indirect light bounces to trace.;要追踪的间接光反弹次数。
Number of transmission light bounces to trace. Increasing this value might help if transmissive objects appear too dark.;要追踪的透射光反弹次数。如果透射物体看起来太暗，增大此值可能会有所帮助。
Reduces noise in scenes with many lights. Has moderate impact on render time and viewport performance.;减少多灯光场景中的噪点。对渲染时间和视口性能有中等影响。
Maximum allowed sample direct radiance. Decreasing this value can reduce fireflies but when set too low it negatively impacts lighting quality.;允许的最大直接辐射采样值。降低此值可减少萤火虫（亮点），但设置过低会对光照质量产生不利影响。
Maximum allowed sample indirect radiance. Decreasing this value can reduce fireflies but when set too low it negatively impacts lighting quality.;允许的最大间接辐射采样值。降低此值可减少萤火虫（亮点），但设置过低会对光照质量产生不利影响。
Intensity of diffuse indirect lighting.;漫反射间接光照强度。
Intensity of reflected indirect lighting.;反射间接光照强度。
Determines the primary direction of scattering in fog, either forwards (positive) or backwards (negative). A value of zero is even, isotropic scattering.;确定雾中散射的主方向：向前（正）或向后（负）。值为零时为均匀的各向同性散射。
Applies image upscaling algorithm to speed up rendering times while maintaining image quality.;应用图像放大算法，在保持图像质量的同时加快渲染速度。
Displays the viewport render resolution.;显示视口渲染分辨率。
Displays the width of the viewport render resolution.;显示视口渲染分辨率的宽度。
Displays the height of the viewport render resolution.;显示视口渲染分辨率的高度。
Choose between different NVIDIA's Deep Learning Super Sampling (DLSS) modes which impacts upscaling quality and performance.;在不同 NVIDIA 深度学习超级采样（DLSS）模式之间选择，这些模式会影响放大质量和性能。
Choose between different NVIDIA's Image Scaling (NIS) modes which impacts upscaling quality and performance and allows for different parameter controls.;在不同 NVIDIA 图像缩放（NIS）模式之间选择，这些模式会影响放大质量和性能，并提供不同的参数控制。
Sets the render resolution scale of the NIS algorithm. (Scale mode only);设置 NIS 算法的渲染分辨率缩放比例。（仅限缩放模式）
Sets the sharpness of the NIS algorithm.;设置 NIS 算法的锐度 。
Sets the sharpness of the FSR algorithm.;设置 FSR 算法的锐度 。
Sets whether the 'Rendered in Marmoset Toolbag' watermark is displayed.;设定是否显示 Marmoset Toolbag 水印 。
Controls how large the watermark appears.;控制水印的大小 。
Determines whether to use the light or dark watermark image. The dark watermark image provides better readability with bright scenes.;确定使用浅色还是深色水印图像。深色水印图像在明亮场景中可读性更好。
Determines whether to use a monotone or colored watermark.;确定是使用单色还是彩色水印。
Sets the horizontal position of the watermark.;设置水印的水平位置。
Sets the vertical position of the watermark.;设置水印的垂直位置。
Enables the display of Scale Reference Teddy.;启用比例参考泰迪熊的显示。
Sets scale reference color.;设置比例参考颜色。
Enables the display of guide icons for objects such as cameras and lights.;允许显示相机和灯光等对象的引导图标。
Enables Hybrid mode's denoiser.;启用混合模式的降噪器。
Intensity of denoising direct illumination.;直接照明的降噪强度。
Intensity of denoising diffuse GI.;漫反射全局光照（GI）的降噪强度。
Intensity of denoising specular reflection.;高光反射的降噪强度。
Choose between low quality sampling with more noise but more performant rendering and high quality sampling with less noies but slower rendering.;在噪声更多但渲染性能更高的低质量采样，与噪声更少但渲染较慢的高质量采样之间选择。
Number of diffuse GI bounces to trace.;要追踪的漫反射 GI 反弹次数。
Number of specular reflection bounces to trace.;要追踪的高光反射反弹次数。
Enables ray traced diffuse GI.;启用光线追踪漫反射 GI。
Enables ray traced specular reflection.;启用光线追踪高光反射。
Enables ray traced refraction.;启用光线追踪折射。
Number of specular refraction bounces to trace.;要追踪的高光折射反弹次数。
Maximum allowed radiance. Decreasing this value can reduce fireflies but when set too low it negatively impacts lighting quality.;允许的最大辐射度。降低此值可减少萤火虫（亮点），但设置过低会对光照质量产生不利影响。
The target space (object, tangent, or view) to visualize normals.;用于可视化法线的目标空间（对象、切线或视图）。
Inverts normals on the X axis, or red channel of the material texture.;反转 X 轴（即材质纹理的红色通道）上的法线。
Inverts normals on the Y axis, or green channel of the material texture.;反转 Y 轴（即材质纹理的绿色通道）上的法线。
Inverts normals on the Z axis, or blue channel of the material texture.;反转 Z 轴（即材质纹理的蓝色通道）上的法线。
Show backfaces when rendering wireframes.;渲染线框时显示背面。
The method by which depth values will be normalized.;深度值的归一化方法。
The method by which position values will be normalized.;位置值的归一化方法。
Enables dithering for 8 bit outputs.;启用 8 位输出的抖动 。
Takes into account an object's reflectivity in albedo calculation, showing the raw albedo value fed to lighting calculations.;在反照率计算中考虑物体的反射率，显示提供给光照计算的原始反照率值。
Use material albedo in this lighting pass. When this option is disabled lighting calculations use neutral (white) albedo.;在此光照通道中使用材质反照率。禁用此选项时，光照计算使用中性（白色）反照率。
Include single bounce of scattering transmission in this lighting pass.;在此光照通道中包含单次散射透射反弹。
Include refraction and thin surface transmission in this lighting pass.;在此光照通道中包含折射和薄表面透射。
Hide meshes using refraction or thin surface transmission from camera view in this lighting pass.;在此光照通道中，从相机视图隐藏使用折射或薄表面透射的网格。
Contrast used when displaying displacement.;显示置换时使用的对比度。
Controls the position, rotation, and various post effects related to camera objects.;控制与摄像机对象相关的位置、旋转及各种后期效果。
Controls the position and rotation of group objects.;控制组对象的位置和旋转。
Controls the position, rotation, and properties of imported meshes.;控制导入网格的位置、旋转和属性。
Controls global scene options like scene scale.;控制全局场景选项，如场景比例。
Controls the sky lighting, including image-based lighting, child lights, and backdrop style.;控制天空光照，包括基于图像的光照、子灯光和背景风格。
Marks this object as the current camera target.;将此对象标为当前相机目标.
Controls object location.;控制对象位置 。
Controls object orientation.;控制对象方向。
Controls object size.;控制对象大小。
Use these controls to move the camera forward, left, back, right, up, and down.;使用这些控件向前、左、后、右、上、下移动摄像机。
Controls how fast the camera pans through the scene. For complex environments, it can be helpful to set this value manually.;控制摄像机在场景中的平移速度。对于复杂环境，手动设置此值可能会有帮助。
